Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єщенко,Франц,Богданович,Чоловік,1953-08-18,Музичний редактор,селище Синельникове,"вулиця Володимира Терещенка, буд. 20 кв. 178, Глиняни, 50917",+380 90 049 68 98,liliia37@example.net
Михайличенко,Йосип,Григорович,Чоловік,1986-05-18,Пілот,місто Шостка,"парк Чорноморський 5-й, буд. 3 кв. 680, Бориспіль, 82603",018-80-10,akomar@example.com
Матяш,Хома,Павлович,Чоловік,2004-09-08,Пекар,хутір Гірське,"сквер Скляна, буд. 923, Шпола, 85675",+380 70 798-67-97,tiahnybokvadym@example.net
Тимчук,Геннадій,Степанович,Чоловік,1950-07-20,Ді-джей,село Шаргород,"провулок Квіткова, буд. 7 кв. 3, Звенигородка, 07378",+380 73 557-84-46,kamilla83@example.org
Тригуб,Геннадій,Богданович,Чоловік,1996-08-21,Геофізик,місто Чоп,"узвіз Економічний, буд. 6, Херсон, 46526",122-67-06,fedirstelmakh@example.net
Москаль,Семен,Андрійович,Чоловік,1945-10-03,Провізор,місто Запоріжжя,"проспект П'ята, буд. 61, Барвінкове, 54833",077 399-68-56,syrotenkoroman@example.com
Ярош,Валерій,Павлович,Чоловік,1966-04-21,Режисер,селище Бориспіль,"площа Молодіжна, буд. 5 кв. 632, Вилкове, 68482",061 624 96 68,cdemydenko@example.com
Копитко,Ігор,Володимирович,Чоловік,1994-03-30,Історик,селище Ворожба,"узвіз Ніни Строкатої, буд. 37, Белз, 40963",842-10-75,stepanandriishyn@example.com
Сірченко,Устим,Сергійович,Чоловік,1975-10-14,Етнограф,селище Чортків,"площа Родоканакі, буд. 7 кв. 8, Хрестівка, 05335",+380 39 102 72 30,rudkodmytro@example.org
Закусило,Григорій,Васильович,Чоловік,1999-08-28,Астрофізик,хутір Середина-Буда,"парк Кедровий, буд. 1 кв. 45, Маріуполь, 72637",+380 95 648 87 69,iukhym09@example.com
Чубай,Тарас,Петрович,Чоловік,1945-07-09,Футболіст,село Кобеляки,"узвіз Флотський 4-й, буд. 355, Нікополь, 17037",971-26-56,drozdenkomilena@example.net
Сомко,Юстим,Петрович,Чоловік,1969-06-19,М'ясник,село Семенівка,"узвіз Деревообробний 5-й, буд. 42, Щастя, 08643",+380 53 201 56 58,smykmarusia@example.org
Шморгун,Ігнат,Петрович,Чоловік,1967-03-02,Соціолог,хутір Горлівка,"шосе Петра Біциллі, буд. 3, Підгайці, 01514",096 824-85-89,batihfedir@example.org
Пʼятаченко,Орест,Павлович,Чоловік,1954-06-10,Єгер,хутір Бахмач,"площа Нескучна, буд. 82, Рубіжне, 24460",+380 88 716 58 33,petrenkodanylo@example.com
Кириленко,Демид,Петрович,Чоловік,1983-07-30,Геолог,селище Христинівка,"сквер Василя Кричевського, буд. 857, Покров, 26389",483-70-34,stsymbal@example.org
Ємельяненко,Ярема,Богданович,Чоловік,1943-12-08,Паблік рилейшнз,хутір Благовіщенське,"узвіз Лузанівка, буд. 06, Ржищів, 25467",798 67 66,omedvedenko@example.com
Шеремет,Юстим,Павлович,Чоловік,1941-09-09,Стоматолог,хутір Олександрія,"проспект Юннатів 2-й, буд. 9 кв. 485, Долина, 98387",+380 (48) 131-43-87,mykhailyna43@example.com
Штокало,Ярослав,Максимович,Чоловік,1987-01-30,М'ясник,селище Вишневе,"проспект Скрипковий, буд. 742 кв. 1, Бердичів, 59088",064 07 72,tsarenkoamaliia@example.com
Панчук,Федір,Степанович,Чоловік,1987-10-02,Кінорежисер,селище Одеса,"площа Солонцюватий 1-й, буд. 64 кв. 62, Узин, 67689",016 212 58 41,volodymyriaremchuk@example.com
Скоробогатько,Охрім,Богданович,Чоловік,1963-10-01,Публіцист,селище Горлівка,"сквер Острозька, буд. 07, Хуст, 91081",280 30 73,dshablii@example.org
Христенко,Антон,Олексійович,Чоловік,1982-05-23,Мовознавець,село Звенигородка,"проспект Петра Лещенка, буд. 05, Ланівці, 61759",+380 32 228 33 38,fedir59@example.org
Єрьоменко,Климент,Андрійович,Чоловік,1970-11-01,Філолог,місто Чоп,"узвіз Всеволода Змієнка, буд. 4, Лохвиця, 17502",983 19 14,zakhar93@example.net
Гайда,Августин,Петрович,Чоловік,1989-09-18,Стоматолог,село Мирноград,"узвіз Волинський, буд. 9, Соледар, 34704",+380 (30) 224-88-84,korbutsviatoslava@example.com
Теличенко,Ігор,Юрійович,Чоловік,1963-12-08,Каскадер,село Миронівка,"парк 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 53, Камінь-Каширський, 18240",+380 47 191-76-75,iaremazorian@example.net
Товстоліс,Охрім,Олександрович,Чоловік,1963-07-11,Палеонтолог,селище П'ятихатки,"набережна Василя Кандинського 2-й, буд. 00, Любомль, 82636",036 860-55-46,tytarenkonazar@example.org
Шморгун,Єлисей,Васильович,Чоловік,2007-07-22,Філолог,місто Тальне,"провулок Бориса Кифоренка, буд. 2 кв. 7, Жданівка, 84867",948-48-17,valentynavernydub@example.com
Макаренко,Опанас,Павлович,Чоловік,1972-01-20,Мірошник,хутір Олевськ,"шосе Профспілкова, буд. 4, Бориспіль, 17302",004 074-65-67,parasiukielysaveta@example.net
Ейбоженко,Захар,Юрійович,Чоловік,1970-01-31,Краєзнавець,місто Радивилів,"проспект Поліська, буд. 06 кв. 663, Глиняни, 41456",+380 (22) 739-21-20,roksolana56@example.com
Шведченко,Костянтин,Григорович,Чоловік,1980-01-30,Фольклорист,село Зборів,"набережна Астрономічний, буд. 3, Бобринець, 48122",+380 95 840-17-71,liudmyla05@example.net
Шовкопляс,Левко,Олександрович,Чоловік,1949-11-20,Реабілітолог,селище Кобеляки,"шосе Ювілейний 1-й, буд. 582 кв. 47, Вижниця, 69291",+380 11 274-05-84,bazylevychheorhii@example.com
Гузь,Євген,Андрійович,Чоловік,2006-10-09,Доцент,хутір Бар,"проспект Депутатський, буд. 34, Івано-Франківськ, 21235",+380 (68) 857-61-09,andriichukleonid@example.net
Москаль,Богдан,Андрійович,Чоловік,1977-02-11,Фольклорист,місто Кам'янка (Черкаська область),"шосе Овідіопольська, буд. 4 кв. 69, Новоазовськ, 46050",391-57-63,omelianchumachenko@example.com
Макаренко,Богодар,Олексійович,Чоловік,1948-12-11,Менеджер,селище Лозова,"провулок Юннатів 2-й, буд. 7, Покров, 53275",080 158 62 00,kolodubodarka@example.com
Андрусенко,Аркадій,Володимирович,Чоловік,1959-09-03,Прокурор,місто Збараж,"провулок Політкаторжан, буд. 15 кв. 83, Армянськ, 37788",+380 09 541 53 85,iaremchukveniiamyn@example.net
Габелко,Сергій,Юрійович,Чоловік,1968-08-22,Фермер,хутір Маріуполь,"набережна Горбиста, буд. 5, Глиняни, 18642",539 56 76,mishchenkomarko@example.org
Яковенко,Мартин,Іванович,Чоловік,1987-10-25,Співак,місто Донецьк,"проспект Аркадійська, буд. 70 кв. 134, Косів, 74617",003 412 76 89,haidenkovarvara@example.org
Бабак,Аврелій,Арсенійович,Чоловік,2000-05-20,Ботанік,хутір Христинівка,"парк Колонтаївська, буд. 27, Алушта, 52995",628 03 79,hvasylashko@example.com
Артюх,Станіслав,Миколайович,Чоловік,1974-09-04,Кінорежисер,селище Щолкіне,"провулок Дениса Максишка, буд. 7, Малин, 43239",025 561-36-96,thabelko@example.org
Нестеренко,Семен,Дмитрович,Чоловік,1982-10-12,Маркетолог,село Золочів,"узвіз Восьмого Березня Лінія 1-ша, буд. 983, Зміїв, 53524",+380 (37) 208-76-33,dtarasenko@example.com
Їжакевич,Демʼян,Олександрович,Чоловік,1972-12-17,Письменник,хутір Новодружеськ,"шосе Пересипська 7-ма, буд. 80 кв. 3, Звенигородка, 48113",083 153-84-96,qdubenko@example.net
Скирда,Гліб,Сергійович,Чоловік,1995-11-03,Головний меркшейдер,село Болехів,"узвіз Рівності 2-й, буд. 8, Ясинувата, 28818",919-87-59,hasaula@example.org
Абраменко,Хома,Юрійович,Чоловік,1948-09-10,Петрограф,селище Новий Буг,"провулок Патріотична, буд. 4 кв. 5, Христинівка, 05805",+380 27 518-61-71,glytvynenko@example.org
Філіпенко,Хома,Іванович,Чоловік,1982-12-03,Живописець,хутір Овруч,"провулок Садова 6-та, буд. 772 кв. 1, Рівне, 27599",046 034 19 96,tetianachubai@example.net
Яценко,Микита,Володимирович,Чоловік,1949-08-08,Швачка,село Берислав,"площа Уманська, буд. 41 кв. 627, Хирів, 45209",+380 05 160-35-48,ytereshchenko@example.com
Гаврилишин,Гліб,Дмитрович,Чоловік,1942-07-23,Візажист,село Кадіївка,"узвіз Суднобудівний, буд. 19 кв. 1, Новомиргород, 42298",840 59 13,mykolai60@example.net
Алексеєнко,Артем,Андрійович,Чоловік,1959-03-16,Журналіст,селище Южноукраїнськ,"набережна Героїв Зміїного, буд. 13 кв. 41, Долина, 77167",+380 47 760-80-29,qaleksiuk@example.net
Худяк,Леонід,Степанович,Чоловік,1950-10-19,Складальник,хутір Сіверськ,"провулок Журавлина, буд. 3 кв. 25, Мелітополь, 50498",+380 24 787-73-63,omelianievdokymenko@example.org
Шеремет,Вадим,Сергійович,Чоловік,1948-09-01,Ботанік,село Бібрка,"проспект Балківська, буд. 338 кв. 8, Новомиргород, 68025",061 374 39 27,masliakemiliia@example.com
Заєць,Варфоломій,Олексійович,Чоловік,2002-12-05,Громадський діяч,хутір Березівка,"провулок Кузнечна, буд. 03 кв. 583, Сніжне, 36553",+380 42 019-75-23,khorishkovalentyna@example.org
Єсипенко,Леопольд,Петрович,Чоловік,1962-08-31,Клоун,хутір Баранівка,"шосе Дур'янівський, буд. 95, Добромиль, 97413",+380 42 475 29 40,vertyporokhiefrem@example.org
Андрійович,Франц,Тимофійович,Чоловік,1993-03-16,Музикознавець,місто Ланівці,"узвіз Камишова, буд. 772 кв. 61, Ходорів, 34469",080 880-75-97,azar15@example.org
Ґереґа,Едуард,Євгенович,Чоловік,1951-04-02,Науковець,село Знам'янка,"площа Аеропортівський 5-й, буд. 983 кв. 0, Щастя, 22792",+380 39 213-40-90,mamchurstanislav@example.net
Кабалюк,Юстим,Григорович,Чоловік,1981-05-15,Професор,місто Березне,"шосе Музична, буд. 144, Чернігів, 53027",028 606-73-17,hderehus@example.com
Щербань,Демид,Тимофійович,Чоловік,1997-05-27,Стиліст,село Дніпро,"набережна Заводська 3-тя, буд. 6 кв. 910, Вознесенівка, 54815",+380 39 041-48-38,adamchukkostiantyn@example.org
Штепа,Ярослав,Олексійович,Чоловік,1992-11-28,Економіст,місто Золоте,"площа Венгера, буд. 92 кв. 6, Городок, 73966",046 601 87 13,venedyktverkhola@example.com
Рева,Яків,Арсенійович,Чоловік,1991-07-25,Антрополог,місто Іллінці,"провулок 13-та ст. Великого Фонтану пляж, буд. 6 кв. 589, Мала Виска, 98027",+380 80 171 10 64,opanasenkomyroslav@example.com
Журба,Веніямин,Павлович,Чоловік,1985-07-04,Професор,хутір Ясинувата,"узвіз Лиманчик 2-й Лінія 9-та, буд. 850 кв. 14, Тараща, 47217",+380 63 602-77-68,onishchukleontii@example.net
Сіробаба,Мирон,Максимович,Чоловік,1943-04-05,Бібліограф,село Вишгород,"проспект Канатний, буд. 72 кв. 89, Пирятин, 09509",+380 61 108-81-58,petro02@example.org
Алексеєнко,Леон,Павлович,Чоловік,1995-01-27,Інженер,місто Жовті Води,"набережна Карантинний узвіз, буд. 6, Кривий Ріг, 86558",076 328-85-03,varfolomii32@example.net
Таран,Алевтин,Петрович,Чоловік,1942-03-31,Флорист,місто Хуст,"узвіз Колонічна, буд. 64, Бердянськ, 83377",+380 57 300-90-98,ieremenkozynovii@example.org
Ірванець,Леопольд,Степанович,Чоловік,1956-01-23,Прокурор,селище Тячів,"площа Юрія Кондратюка, буд. 5 кв. 973, Чорнобиль, 23160",001 107-49-30,ovatamaniuk@example.org
Матвієнко,Тарас,Євгенович,Чоловік,1952-03-19,Ді-джей,хутір Святогірськ,"провулок Любомира Гузара, буд. 69 кв. 7, Маріуполь, 97921",063 558-10-61,sahalorest@example.net
Черінько,Пантелеймон,Миколайович,Чоловік,1987-04-30,Золотар,хутір Старий Самбір,"парк Василя Фащенка, буд. 96, Мостиська, 76500",811 15 90,rlukash@example.org
Дрозденко,Онисим,Степанович,Чоловік,1971-04-28,Електромонтажник,селище Липовець,"проспект Остапа Вишні, буд. 746 кв. 7, Золотоноша, 42112",+380 49 608-02-57,zynoviiasaula@example.com
Чалий,Аарон,Григорович,Чоловік,1944-01-04,Редактор,селище Носівка,"парк Стельмаха, буд. 994, Дрогобич, 25062",976 45 79,qadamchuk@example.net
Демʼяненко,Остап,Васильович,Чоловік,1991-04-21,Будник,село Вишневе,"площа Авіаційна, буд. 116, Зимогір'я, 75355",+380 (95) 981-89-61,sheremetaiukhym@example.org
Яковенко,Юхим,Володимирович,Чоловік,1994-01-12,Філолог,хутір Кременець,"шосе Середньофонтанська, буд. 453, Помічна, 79229",+380 25 759-27-60,varvaraabramchuk@example.net
Охримович,Богдан,Арсенійович,Чоловік,1963-10-11,Кінорежисер,місто Чуднів,"вулиця Тираспольська, буд. 649 кв. 305, Житомир, 47524",+380 30 198 07 56,tbarannyk@example.net
Христенко,Вадим,Володимирович,Чоловік,1942-10-26,Архітектор,хутір Попасна,"проспект Привокзальний, буд. 9 кв. 5, Новоселиця, 65728",+380 (37) 166-92-67,ematviienko@example.com
Конопленко,Аарон,Григорович,Чоловік,1983-07-17,Гицель,хутір Радехів,"площа 14-та ст. Великого Фонтану пляж, буд. 7 кв. 722, Бібрка, 13557",054 486-01-48,ielyseishapoval@example.com
Гук,Йосип,Григорович,Чоловік,1984-12-17,Живописець,місто Лебедин,"набережна 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 09 кв. 559, Сквира, 89482",+380 01 318 55 41,mfranchuk@example.com
Міщенко,Трохим,Романович,Чоловік,1944-09-25,Паблік рилейшнз,село Зборів,"проспект 7-ма Лінія Дачі Ковалевського, буд. 96 кв. 29, Гірське, 78773",+380 17 476 43 40,fhaidenko@example.com
Атрощенко,Григорій,Олексійович,Чоловік,1999-01-17,Бібліотекар,селище Каховка,"узвіз Бардаха, буд. 7 кв. 4, Ізмаїл, 11389",099 627-19-32,svernydub@example.org
Чуприна,Василь,Григорович,Чоловік,1967-09-10,Візажист,село Валки,"проспект Стеценко, буд. 365 кв. 760, Шостка, 84807",+380 (96) 832-45-62,gerusspas@example.net
Калениченко,Святослав,Романович,Чоловік,2001-04-16,Науковець,село Донецьк,"узвіз Злакова, буд. 186, Шахтарськ, 02323",+380 46 707 75 12,semen32@example.org
Назаренко,Гаврило,Тимофійович,Чоловік,2004-09-22,Петрограф,село Пирятин,"вулиця Луїджі Іоріні, буд. 414, Новоазовськ, 42858",+380 03 647-60-85,zvatamaniuk@example.org
Свириденко,Владислав,Олександрович,Чоловік,1956-05-31,Бізнесмен,селище Виноградів,"площа Джерельна, буд. 490, Яремче, 43362",+380 49 226-04-21,cvakhnii@example.org
Конопленко,Юхим,Арсенійович,Чоловік,1982-12-23,Намотувальник,місто Кролевець,"провулок Надіїі, буд. 141 кв. 896, Заводське, 58536",+380 (26) 565-76-57,roman09@example.com
Примаченко,Назар,Миколайович,Чоловік,2000-06-18,Диригент,селище Косів,"сквер Дюківський сад, буд. 7 кв. 9, Благовіщенське, 12913",020 616-45-06,iosyp64@example.org
Рева,Зиновій,Богданович,Чоловік,1966-10-13,Скульптор,хутір Заліщики,"шосе Наливна, буд. 32, Запоріжжя, 82559",075 943 17 52,serhii14@example.net
Приходько,Франц,Васильович,Чоловік,1988-10-29,Дипломат,селище Ржищів,"парк Леся Курбаса, буд. 7, Златопіль, 29727",+380 49 488 97 91,bohodarkarpenko@example.com
Засядько,Венедикт,Юрійович,Чоловік,1981-10-26,Піаніст,селище Карлівка,"проспект Горизонтальна, буд. 05 кв. 9, Нікополь, 58350",087-54-32,kalchenkomarko@example.org
Деркач,Пантелеймон,Олексійович,Чоловік,2001-03-09,Соціолог,село Кам'янка-Бузька,"площа Осипова, буд. 56 кв. 68, Вуглегірськ, 28614",+380 29 179-77-91,gartiushenko@example.org
Башполченко,Леопольд,Андрійович,Чоловік,1999-11-04,Геофізик,селище Новогродівка,"набережна Заможна, буд. 656 кв. 14, Слов'янськ, 23692",086 67 29,solomonshvachka@example.net
Ющенко,Пармен,Сергійович,Чоловік,1981-03-17,Акушер,селище Новогродівка,"узвіз Йозефа Прибіка, буд. 8 кв. 0, Острог, 53811",+380 50 254 14 33,klyment75@example.net
Скопенко,Віктор,Андрійович,Чоловік,1974-03-06,Локсмайстер,місто Ромни,"узвіз Наклонна, буд. 0, Мерефа, 72950",201-28-44,alina95@example.net
Адаменко,Дмитро,Григорович,Чоловік,1979-08-02,Гірник,село Ірпінь,"провулок Пшенична, буд. 8 кв. 4, Боярка, 79112",+380 04 372 58 52,marta43@example.net
Забара,Теодор,Олексійович,Чоловік,1990-06-14,Кіноактор,селище Малин,"набережна Отонівський, буд. 087, Іллінці, 65669",067 527 36 09,onysym23@example.org
Єсипенко,Ростислав,Євгенович,Чоловік,1948-01-06,Фермер,хутір Лохвиця,"проспект Кленова, буд. 80 кв. 840, Кодима, 25503",014 632-05-04,andrii78@example.org
Бабій,Стефан,Павлович,Чоловік,1981-02-27,Стоматолог,село Миколаїв,"проспект Овідіопольська, буд. 0 кв. 5, Хмільник, 22271",+380 29 167 29 16,wperepelytsia@example.net
Дацюк,Геннадій,Богданович,Чоловік,2003-12-23,Стоматолог,село Тиврів,"провулок Садиковська, буд. 28, Армянськ, 22395",059 838 99 82,karpaiakiv@example.org
Копитко,Пармен,Романович,Чоловік,1994-02-05,Філолог,селище Тячів,"узвіз Вишневий, буд. 085 кв. 19, Берестечко, 95037",+380 (25) 908-70-18,zsamoilenko@example.com
Юрчишин,Станіслав,Романович,Чоловік,1997-11-27,Зоолог,місто Звенигородка,"набережна Розумовський 1-й, буд. 01, Ужгород, 25627",548-89-39,illiaasaula@example.com
Сірко,Амвросій,Сергійович,Чоловік,1978-01-29,Ботанік,місто Глобине,"парк Олександра Кошиця, буд. 9 кв. 323, Біляївка, 73767",+380 14 510-01-46,qderevianko@example.net
Теличенко,Данило,Тимофійович,Чоловік,1981-01-23,Кінорежисер,село Щастя,"набережна Литовська, буд. 0 кв. 6, Самар, 95754",073 951-80-20,shmorhunadam@example.org
Сімашкевич,Альберт,Васильович,Чоловік,1994-10-21,Шериф,село Рубіжне,"набережна Лінія 28-ма, буд. 009, Стебник, 20771",+380 06 312-70-62,kashchenkoirena@example.org
Жаліло,Амвросій,Тимофійович,Чоловік,1983-10-22,Архітектор,хутір Нікополь,"шосе Артилерійський 2-й, буд. 959, Городенка, 96437",059 530-89-68,larysa11@example.com
Бабко,Микита,Дмитрович,Чоловік,1993-10-23,Музикант,селище Івано-Франківськ,"площа Пироговський, буд. 3, Корець, 13910",+380 (47) 529-37-77,iaroslavademianiuk@example.com
Штокало,Владислав,Сергійович,Чоловік,1947-09-16,Промисловець,місто Тараща,"сквер Залізничний 3-й, буд. 20 кв. 7, Переяслав, 58990",057 819 90 93,chernenkooles@example.net
Власенко,Йосип,Максимович,Чоловік,1995-02-23,Хореограф,селище Святогірськ,"вулиця Ф. Пішеніна, буд. 50 кв. 13, Нове Давидково, 63162",955-43-59,vusyk@example.net
Дуплій,Пантелеймон,Максимович,Чоловік,1963-09-23,Геолог,місто Винники,"сквер Андрія Гулого-Гуленка, буд. 69, Перемишляни, 94384",996 97 74,karpanestor@example.net
Сиротенко,Захар,Григорович,Чоловік,1942-12-22,Археолог,місто Глиняни,"провулок Пересипська 10-та, буд. 29, Золотоноша, 13259",+380 59 551-97-01,wbashtan@example.com
Баклан,Марко,Миколайович,Чоловік,1965-08-06,Етнограф,місто Очаків,"вулиця Професора Каришковського, буд. 17 кв. 6, Добромиль, 76839",+380 33 353-09-30,hordiiierchenko@example.net
Гречко,Ростислав,Володимирович,Чоловік,1962-12-31,Актор,село Кіцмань,"сквер Трибуни героїв, буд. 0, Перемишляни, 48131",+380 15 913 75 57,boryslavarkhypenko@example.org
Артюх,Артем,Миколайович,Чоловік,1957-06-22,Графік,село Малин,"набережна Преображенська, буд. 93, Українськ, 44125",076 230 81 40,korolenkoerika@example.org
Сомко,Богодар,Євгенович,Чоловік,1977-03-26,Різноробочий,хутір Мостиська,"проспект Місячна, буд. 5 кв. 3, Заліщики, 85609",+380 (52) 832-21-74,ieroshenkopetro@example.net
Фаренюк,Августин,Андрійович,Чоловік,1968-04-26,Актор,селище Харків,"провулок Транспортна, буд. 4, Горохів, 92069",+380 22 816 08 38,oryna38@example.org
Наливайко,Омелян,Григорович,Чоловік,1963-01-03,Фотограф,місто Ромни,"шосе Фестивальний, буд. 984, Курахове, 93854",+380 32 929-19-77,danylchukspas@example.com
Радченко,Руслан,Іванович,Чоловік,1961-09-19,Доцент,місто Привілля,"вулиця Михайла Омеляновича-Павленка, буд. 031 кв. 6, Дубровиця, 41841",+380 99 941-58-85,vovkvarfolomii@example.com
Іщак,Едуард,Дмитрович,Чоловік,1947-08-17,Стропальник,хутір Валки,"площа Біляївська, буд. 2, Балаклія, 63351",+380 69 633-57-65,zlatoslava11@example.com
Жаліло,Степан,Арсенійович,Чоловік,1955-10-11,Дипломат,хутір Жмеринка,"сквер Василя Стуса, буд. 62 кв. 5, Бахчисарай, 60430",084 994 02 68,shvedchenkohalyna@example.net
Смик,Гліб,Олександрович,Чоловік,1941-06-03,Програміст,місто Очаків,"шосе Бернардацці, буд. 5 кв. 07, Радехів, 59354",+380 08 094-74-38,volodymyr89@example.net
Данькевич,Онисим,Васильович,Чоловік,1977-06-22,Бібліотекар,місто Хмельницький,"площа Заводська 5-та, буд. 14, Жданівка, 43082",+380 52 180-34-28,martynkovalenko@example.com
Ніколюк,Устим,Максимович,Чоловік,1986-06-28,Антрополог,місто Привілля,"шосе Шебелінський, буд. 2 кв. 28, Українськ, 01782",854-96-59,elytvynenko@example.com
Бабʼяк,Демид,Тимофійович,Чоловік,2001-03-01,Музикант,хутір Борислав,"проспект Матроський узвіз, буд. 0 кв. 93, Дубно, 72664",002 039-21-88,rlazarenko@example.net
Юрченко,Пантелеймон,Олександрович,Чоловік,1971-10-09,Літературознавець,село Чоп,"парк Прорізний, буд. 29 кв. 293, Лиман, 05844",+380 24 509 20 63,pylyp47@example.com
Яценко,Ігнат,Богданович,Чоловік,1944-01-02,Ювелір,селище Дрогобич,"парк Старопортофранківська, буд. 1, Тараща, 03571",+380 82 195 49 09,azar41@example.org
Туркало,Соломон,Максимович,Чоловік,1962-11-12,Правник,село Мелітополь,"проспект Хортицька, буд. 3 кв. 12, Заставна, 22687",+380 26 302 25 88,iefremtryhub@example.net
Свириденко,Макар,Олексійович,Чоловік,2003-09-09,Астроном,хутір Самбір,"парк Керченський 1-й, буд. 46, Путивль, 06062",+380 78 003-73-03,gdrozd@example.net
Гузенко,Семен,Богданович,Чоловік,1980-03-31,Дипломат,село Южноукраїнськ,"сквер Яблунева, буд. 82, Лиман, 38590",096 595-01-06,panteleimon68@example.net
Вишиваний,Борислав,Богданович,Чоловік,1979-06-14,Геофізик,хутір Тернівка,"узвіз Іспанський, буд. 39, Хмельницький, 40462",086 299-49-92,chaidabura@example.net
Скорик,Тарас,Євгенович,Чоловік,1960-07-02,Державний службовець,селище Радомишль,"узвіз Стельмаха, буд. 63, Обухів, 52363",+380 36 909 16 62,bohdanonishchuk@example.com
Приходько,Орест,Олексійович,Чоловік,1961-03-04,Кінокритик,селище Донецьк,"провулок Лінія 45-та, буд. 7, Радехів, 31081",+380 (98) 344-71-20,echumachenko@example.com
Кармалюк,Онисим,Тимофійович,Чоловік,1942-11-26,Графік,селище Болград,"шосе Італійський, буд. 0, Ірміно, 92721",+380 86 721-28-58,fareniukles@example.org
Вахній,Валерій,Степанович,Чоловік,1996-03-19,Няня,місто Бурштин,"набережна Лінія 28-ма, буд. 8 кв. 4, Городенка, 90353",053-32-95,serhii50@example.org
Вишиваний,Юстим,Олександрович,Чоловік,1983-07-19,Державний службовець,хутір Середина-Буда,"узвіз Танфільєва, буд. 431, Деражня, 28440",+380 20 182-64-70,jonishchuk@example.com
Бабариченко,Валентин,Юрійович,Чоловік,1984-07-20,Етнограф,місто Гнівань,"провулок Армійська, буд. 4, Борзна, 32257",+380 17 229-18-90,oksana14@example.org
Батюк,Болеслав,Миколайович,Чоловік,1957-05-20,Фотограф,селище Часів Яр,"набережна Максима Чайки, буд. 475 кв. 01, Куп'янськ, 29914",+380 14 112-87-69,valenkosvitlana@example.net
Єрошенко,Франц,Петрович,Чоловік,1986-11-14,Паблік рилейшнз,місто Чугуїв,"провулок Морехідна, буд. 2 кв. 0, Сватове, 22709",+380 (84) 481-32-53,danylozakharchenko@example.net
Корж,Ігнат,Тимофійович,Чоловік,1962-09-18,Педагог,хутір Хмільник,"набережна Квітки-Основ’яненка, буд. 830 кв. 07, Умань, 46931",+380 30 246-44-00,pavlo27@example.org
Вдовенко,Арсен,Романович,Чоловік,1980-08-25,Гірничий інженер,місто Шаргород,"сквер Травневий 4-й, буд. 3, Ялта, 49456",+380 27 961 33 20,iaroslava25@example.net
Шаблій,Геннадій,Євгенович,Чоловік,1939-02-21,Електромонтер,місто Тальне,"проспект Північна, буд. 87, Сіверськодонецьк, 33560",+380 13 354 99 45,danbabak@example.net
Акуленко,Петро,Дмитрович,Чоловік,1965-05-15,Скульптор,селище Богуслав,"вулиця Скляний 2-й, буд. 7 кв. 86, Сорокине, 91931",058 969 84 93,milenabandurka@example.org
Гунько,Федір,Євгенович,Чоловік,1975-03-12,Перекладач,місто Чортків,"набережна Школярський, буд. 22 кв. 6, Гайсин, 41288",046 157-50-38,zlatoslavahuzii@example.org
Гузь,Юстим,Степанович,Чоловік,1951-09-23,Футболіст,село Новодністровськ,"провулок Латвійський узвіз, буд. 35 кв. 473, Іловайськ, 19177",310-42-04,feofan54@example.org
Демʼянюк,Максим,Максимович,Чоловік,1992-07-18,Флорист,селище Слов'янськ,"сквер Абрикосовий, буд. 6, Кіцмань, 22282",+380 (49) 898-76-42,havrylo08@example.net
Данильчук,Олександр,Павлович,Чоловік,1961-11-26,Ґрунтознавець,селище Коростишів,"узвіз Шевальових, буд. 2 кв. 62, Березне, 18882",+380 35 427-17-32,lbatih@example.net
Твердохліб,Левко,Богданович,Чоловік,1987-11-25,Підприємець,селище Вишгород,"шосе Академіка Липського, буд. 493, Волочиськ, 47219",677-72-34,qbabko@example.com
Вернидуб,Амвросій,Євгенович,Чоловік,2003-04-14,Нотаріус,хутір Апостолове,"узвіз Ігоря Бедзая, буд. 0, Вінниця, 02321",+380 37 507-93-32,ievashvachka@example.net
Гузь,Святослав,Арсенійович,Чоловік,1981-08-26,Скульптор,селище Буча,"узвіз Локомотивний 4-й, буд. 58, Сокологірськ, 33802",368-32-27,demydskoryk@example.com
Ґжицький,Ростислав,Дмитрович,Чоловік,1978-08-20,Гицель,місто Миронівка,"сквер Восьмого березня 3-й, буд. 55 кв. 2, Почаїв, 28389",+380 (44) 906-15-34,vdanchenko@example.com
Вернидуб,Климент,Андрійович,Чоловік,1986-09-07,Астрофізик,селище Золотоноша,"сквер Олександра Кутузакія, буд. 682 кв. 452, Галич, 78129",+380 80 142-17-00,hordii25@example.com
Терещенко,Сергій,Іванович,Чоловік,1999-01-26,Живописець,село Трускавець,"парк Басейна, буд. 880, Ровеньки, 36438",+380 01 318-81-30,volodymyr03@example.net
Ільченко,Венедикт,Максимович,Чоловік,1962-07-27,Соціолог,місто Баранівка,"провулок Сім'ї Глодан, буд. 16, Болград, 61643",096 028-96-70,piashchuk@example.org
